"DATA_YEAR","VICTIM_ID","INJURY_ID"
2020,139479374,5
2020,139479375,5
2020,139482902,5
2020,139482934,4
2020,139480824,5
2020,139484266,4
2020,139482207,4
2020,139482454,4
2020,139482819,6
2020,139482819,4
2020,139485620,4
2020,139488535,5
2020,139488550,4
2020,139486285,5
2020,139489917,4
2020,139489992,5
2020,139493753,5
2020,139493877,5
2020,139440724,4
2020,139445089,4
2020,139445467,6
2020,139441341,5
2020,139441752,5
2020,139446284,5
2020,139442064,5
2020,139442149,5
2020,139446792,5
2020,139442280,5
2020,139447192,6
2020,139447192,7
2020,139442422,4
2020,139442483,4
2020,139501246,5
2020,139448326,4
2020,139453988,5
2020,139449019,7
2020,139449019,4
2020,139449176,4
2020,139454559,4
2020,139449225,4
2020,139449438,5
2020,139454926,5
2020,139454942,5
2020,139455774,4
2020,139455912,4
2020,139456032,5
2020,139456091,4
2020,139456817,5
2020,139457058,4
2020,139457456,4
2020,139457880,4
2020,139452203,4
2020,139458700,4
2020,139492205,3
2020,139492218,4
2020,139492511,5
2020,139492517,5
2020,139497937,4
2020,139498814,4
2020,139499068,4
2020,139499400,4
2020,139499452,4
2020,139499577,5
2020,139495818,5
2020,139500554,4
2020,139504498,2
2020,139508724,4
2020,139509179,4
2020,139505961,4
2020,139510072,2
2020,139510233,5
2020,139510638,4
2020,139506490,4
2020,139506682,4
2020,139517982,5
2020,139444582,5
2020,139441278,4
2020,139479285,5
2020,139447172,4
2020,139442477,4
2020,139447462,4
2020,139496649,4
2020,139496651,4
2020,139448866,5
2020,139450257,5
2020,139456810,4
2020,139457296,4
2020,139451111,4
2020,139458112,4
2020,139477057,4
2020,139477055,4
2020,139477676,4
2020,139482958,5
2020,139498725,4
2020,139483270,5
2020,139483977,4
2020,139481104,4
2020,139484152,5
2020,139481213,5
2020,139481672,4
2020,139481806,5
2020,139484611,4
2020,139485683,5
2020,139488491,5
2020,139488488,5
2020,139488494,5
2020,139486440,5
2020,139486647,5
2020,139489463,4
2020,139486828,4
2020,139489784,5
2020,139487163,4
2020,139487184,5
2020,139487275,5
2020,139490219,4
2020,139491537,4
2020,139491938,5
2020,139494405,4
2020,139494443,4
2020,139498512,4
2020,139499368,5
2020,139499961,5
2020,139242718,4
2020,139250016,4
2020,139250350,4
2020,139251028,5
2020,139251110,5
2020,139251184,5
2020,139251338,4
2020,139246543,3
2020,139246699,5
2020,139269214,5
2020,139276163,4
2020,139598731,5
2020,139598734,5
2020,139598746,5
2020,139598873,5
2020,139604299,5
2020,139604298,6
2020,139604331,5
2020,139886914,4
2020,139886930,4
2020,139886960,4
2020,139887004,5
2020,139887007,4
2020,139887014,5
2020,139891196,5
2020,139887210,5
2020,139887223,4
2020,139891364,4
2020,139891393,5
2020,139891403,5
2020,139887262,5
2020,139891514,4
2020,139891591,4
2020,139891581,4
2020,139891583,4
2020,139887441,5
2020,139887669,5
2020,139887674,5
2020,139887720,5
2020,139887705,5
2020,139891854,4
2020,139586765,5
2020,139588806,4
2020,139588805,4
2020,139593055,4
2020,139593159,5
2020,139593340,4
2020,139593616,4
2020,139593943,4
2020,139594382,5
2020,139589839,5
2020,139589841,5
2020,139594982,4
2020,139590592,4
2020,139590851,5
2020,139595493,5
2020,139591093,4
2020,139595805,5
2020,139591289,4
2020,139501798,4
2020,139502460,5
2020,139508812,4
2020,139508933,5
2020,139504764,4
2020,139505622,4
2020,139506074,4
2020,139510553,4
2020,139510577,4
2020,139507811,4
2020,139513119,4
2020,139512144,5
2020,139512831,5
2020,139518141,4
2020,139501011,5
2020,139401465,5
2020,139397839,4
2020,139408818,4
2020,139418062,6
2020,139482930,4
2020,139481098,6
2020,139481218,4
2020,139484202,4
2020,139484214,4
2020,139481993,5
2020,139482167,4
2020,139485191,4
2020,139485193,4
2020,139482556,4
2020,139485870,4
2020,139486018,4
2020,139488720,4
2020,139486341,4
2020,139486375,4
2020,139486377,4
2020,139486443,5
2020,139486510,5
2020,139486524,5
2020,139490584,4
2020,139490714,4
2020,139493028,5
2020,139493052,5
2020,139491197,5
2020,139493070,5
2020,139491220,4
2020,139493088,4
2020,139491218,4
2020,139493205,5
2020,139598966,4
2020,139604417,4
2020,139599093,5
2020,139604515,4
2020,139599191,4
2020,139604598,5
2020,139605045,5
2020,139605568,4
2020,139605615,4
2020,139600275,4
2020,139600304,4
2020,139605738,4
2020,139600423,4
2020,139606023,5
2020,139600775,3
2020,139600924,5
2020,139600982,5
2020,139606411,5
2020,139606441,4
2020,139606583,4
2020,139606677,5
2020,139606782,4
2020,139606902,6
2020,139602035,4
2020,139607341,4
2020,139602032,4
2020,139607644,4
2020,139607734,5
2020,139602471,5
2020,139602623,4
2020,139602692,4
2020,139602694,4
2020,139607980,4
2020,139602724,5
2020,139602768,3
2020,139608089,5
2020,139612940,5
2020,139608277,5
