"","combo","partner_crime","child_crime","stranger_crime","burglary_home_stranger","victim_male","victim_female","victim_unknown_sex","offender_male","offender_female","offender_unknown_sex","victim_minor","victim_adult","offender_minor","offender_adult"
"16116","PUTNAM-IN-2018-7",6,6,6,0,25,40,1,48,30,0,7,42,7,42
"16117","PUTNAM-IN-2018-8",0,1,0,0,0,1,0,27,5,0,0,1,0,1
"16118","PUTNAM-IN-2018-9",2,3,2,0,1,3,0,19,1,0,3,1,3,1
"16119","PUTNAM-OH-2018-1",4,5,3,0,5,5,0,14,1,0,3,6,3,6
"16120","PUTNAM-OH-2018-10",3,15,6,0,22,20,3,23,13,0,7,33,7,33
"16121","PUTNAM-OH-2018-11",4,5,6,0,11,11,2,34,10,2,1,19,1,19
"16122","PUTNAM-OH-2018-12",6,10,5,0,17,22,3,43,11,4,4,36,4,36
"16123","PUTNAM-OH-2018-2",1,5,1,0,4,5,1,20,1,2,0,9,0,9
"16124","PUTNAM-OH-2018-3",2,3,1,0,6,4,1,8,4,2,2,5,2,5
"16125","PUTNAM-OH-2018-4",2,13,1,0,10,7,2,19,9,2,9,8,9,8
"16126","PUTNAM-OH-2018-5",5,19,8,0,17,21,0,37,6,2,5,27,5,27
"16127","PUTNAM-OH-2018-6",2,16,0,0,27,9,1,42,10,1,1,23,1,23
"16128","PUTNAM-OH-2018-7",4,19,7,0,20,32,0,34,26,1,6,42,6,42
"16129","PUTNAM-OH-2018-8",3,12,4,0,12,14,3,30,10,2,3,23,3,23
"16130","PUTNAM-OH-2018-9",1,4,4,0,13,15,0,35,11,0,1,25,1,25
"16131","PUTNAM-TN-2018-1",40,58,37,0,182,147,1,265,179,211,20,308,20,308
"16132","PUTNAM-TN-2018-10",64,66,63,0,215,211,0,423,188,157,30,387,30,387
"16133","PUTNAM-TN-2018-11",46,64,95,0,189,181,0,338,211,120,21,348,21,348
"16134","PUTNAM-TN-2018-12",56,48,72,0,187,159,0,344,186,141,21,325,21,325
"16135","PUTNAM-TN-2018-2",57,53,61,0,186,165,0,306,148,159,14,336,14,336
"16136","PUTNAM-TN-2018-3",100,93,106,0,234,207,2,361,145,231,23,403,23,403
"16137","PUTNAM-TN-2018-4",50,52,58,0,181,150,2,261,111,256,16,315,16,315
"16138","PUTNAM-TN-2018-5",75,56,64,0,196,171,1,280,149,205,16,348,16,348
"16139","PUTNAM-TN-2018-6",56,49,59,0,190,179,0,342,185,187,35,332,35,332
"16140","PUTNAM-TN-2018-7",42,58,80,0,198,214,0,335,197,204,32,378,32,378
"16141","PUTNAM-TN-2018-8",60,46,64,0,222,182,2,304,189,181,18,386,18,386
"16142","PUTNAM-TN-2018-9",64,62,79,0,229,187,4,354,168,147,19,398,19,398
"16143","PUTNAM-WV-2018-1",26,39,24,0,64,58,2,96,40,14,3,113,3,113
"16144","PUTNAM-WV-2018-10",11,17,14,0,32,34,2,101,27,16,9,54,9,54
"16145","PUTNAM-WV-2018-11",14,18,16,0,26,24,0,54,23,12,4,39,4,39
"16146","PUTNAM-WV-2018-12",40,48,35,0,95,68,1,157,47,8,4,151,4,151
"16147","PUTNAM-WV-2018-2",16,15,15,0,36,27,3,59,77,16,3,54,3,54
"16148","PUTNAM-WV-2018-3",36,45,34,0,57,54,1,103,47,11,13,93,13,93
"16149","PUTNAM-WV-2018-4",32,42,29,0,54,43,1,64,41,8,6,86,6,86
"16150","PUTNAM-WV-2018-5",35,58,37,0,89,79,3,156,50,13,15,144,15,144
"16151","PUTNAM-WV-2018-6",37,45,36,0,77,58,2,115,40,20,8,120,8,120
"16152","PUTNAM-WV-2018-7",19,26,17,0,32,26,1,66,33,11,2,49,2,49
"16153","PUTNAM-WV-2018-8",15,18,17,0,22,36,1,83,14,16,3,47,3,47
"16154","PUTNAM-WV-2018-9",28,35,26,0,49,55,1,102,40,10,8,87,8,87
"16155","RACINE-WI-2018-1",140,108,171,0,350,385,0,649,190,11,75,660,75,660
"16156","RACINE-WI-2018-10",113,104,144,0,271,330,0,458,185,2,112,483,112,483
"16157","RACINE-WI-2018-11",157,124,157,0,246,307,0,487,130,0,138,414,138,414
"16158","RACINE-WI-2018-12",76,64,74,0,172,280,0,444,171,1,49,403,49,403
"16159","RACINE-WI-2018-2",113,106,145,0,240,441,0,558,252,7,144,536,144,536
"16160","RACINE-WI-2018-3",62,54,88,0,243,236,0,464,161,8,59,412,59,412
"16161","RACINE-WI-2018-4",92,100,136,0,245,343,5,551,165,4,105,487,105,487
"16162","RACINE-WI-2018-5",115,99,148,0,225,327,0,468,189,1,67,480,67,480
"16163","RACINE-WI-2018-6",106,93,164,0,314,350,0,532,187,11,118,544,118,544
"16164","RACINE-WI-2018-7",159,142,204,0,320,401,0,537,230,7,94,627,94,627
"16165","RACINE-WI-2018-8",123,100,179,0,293,419,0,520,268,2,76,636,76,636
"16166","RACINE-WI-2018-9",86,77,110,0,200,359,1,399,162,3,57,502,57,502
"16167","RADFORD CITY-VA-2018-1",17,8,17,0,48,46,4,100,51,0,3,87,3,87
"16168","RADFORD CITY-VA-2018-10",17,14,42,3,51,63,2,108,36,1,7,102,7,102
"16169","RADFORD CITY-VA-2018-11",7,3,12,0,15,41,0,61,37,0,0,56,0,56
"16170","RADFORD CITY-VA-2018-12",8,11,18,0,39,30,0,107,23,1,9,60,9,60
"16171","RADFORD CITY-VA-2018-2",11,9,16,0,23,68,0,75,70,0,3,88,3,88
"16172","RADFORD CITY-VA-2018-3",14,12,15,0,30,22,0,68,23,0,6,45,6,45
"16173","RADFORD CITY-VA-2018-4",10,12,23,0,37,48,0,114,40,0,10,75,10,75
"16174","RADFORD CITY-VA-2018-5",11,10,14,0,30,33,0,79,42,0,6,57,6,57
"16175","RADFORD CITY-VA-2018-6",15,8,17,0,34,26,0,54,40,0,6,53,6,53
"16176","RADFORD CITY-VA-2018-7",16,13,19,0,40,43,1,81,36,0,10,73,10,73
"16177","RADFORD CITY-VA-2018-8",13,12,29,8,64,51,0,123,24,0,5,110,5,110
"16178","RADFORD CITY-VA-2018-9",18,18,31,1,53,56,0,123,50,0,9,98,9,98
