"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,39201696,126806200,1,07-JAN-20,2,"N",16,5,26,"M",1,3,"U","","",26,0
2020,39206026,126803153,2,22-JAN-20,1,"N",27,5,43,"M",1,2,"R","","",43,0
2020,39206060,126803172,1,19-JAN-20,1,"N",16,5,33,"M",1,3,"U","","",33,0
2020,39201861,126806555,1,26-JAN-20,2,"N",16,5,38,"M",1,1,"R","","",38,0
2020,39206220,126803655,1,24-JAN-20,2,"N",5,5,40,"M",1,3,"R","","",40,0
2020,39202182,126807278,1,01-JAN-20,2,"N",2,5,20,"M",1,2,"N","","",20,0
2020,39206389,126807278,2,01-JAN-20,2,"N",16,5,19,"M",1,2,"R","","",19,0
2020,39206411,126803990,1,25-JAN-20,1,"N",39,5,42,"M",1,1,"R","","",42,0
2020,39202307,126807561,1,14-JAN-20,1,"N",49,5,55,"F",1,2,"N","","",55,0
2020,39206523,126807589,1,20-JAN-20,1,"N",16,5,14,"F",1,2,"R","H","",14,0
2020,39202364,126807715,1,29-JAN-20,1,"N",21,5,32,"M",1,2,"R","","",32,0
2020,39202384,126804417,1,24-JAN-20,1,"N",5,5,39,"M",1,3,"R","","",39,0
2020,39202410,126804481,1,31-JAN-20,1,"N",23,5,62,"F",1,2,"R","","",62,0
2020,39202671,126805464,1,04-JAN-20,3,"N",51,5,41,"F",1,3,"N","","",41,0
2020,39210334,126828940,1,02-JAN-20,1,"N",48,5,42,"M",1,2,"N","","",42,0
2020,39210367,126832198,1,23-JAN-20,1,"N",16,5,50,"F",1,2,"R","","",50,0
2020,39214808,126831686,1,24-JAN-20,3,"N",5,5,37,"F",1,3,"R","","",37,0
2020,39215037,126832232,1,07-FEB-20,2,"N",16,5,11,"M",1,2,"R","R","",11,0
2020,39215060,126829074,1,21-FEB-20,3,"N",21,5,22,"M",1,2,"U","","",22,0
2020,39215192,126829388,1,08-FEB-20,1,"N",23,5,46,"M",1,3,"N","","",46,0
2020,39210537,126832588,1,12-FEB-20,1,"N",51,5,55,"M",1,3,"U","","",55,0
2020,39215221,126832618,1,14-FEB-20,1,"N",53,5,44,"M",1,3,"U","","",44,0
2020,39215229,126832636,1,20-JAN-20,2,"N",16,5,68,"F",1,2,"R","","",68,0
2020,39215242,126832659,1,18-FEB-20,3,"N",49,5,35,"M",1,3,"U","","",35,0
2020,39210587,126832670,1,31-JAN-20,2,"N",28,5,49,"M",1,3,"R","","",49,0
2020,39211016,126833697,1,26-JAN-20,1,"N",44,5,56,"M",1,3,"R","","",56,0
2020,39211103,126830625,1,16-JAN-20,2,"N",23,5,23,"F",1,3,"R","","",23,0
2020,39215868,126830693,1,04-FEB-20,1,"N",27,5,47,"M",1,3,"R","","",47,0
2020,39211197,126834175,1,23-JAN-20,3,"N",23,5,18,"F",1,2,"R","","",18,0
2020,39216077,126836249,1,16-JAN-20,2,"N",37,5,27,"M",1,3,"R","","",27,0
2020,39216102,126836276,1,10-JAN-20,3,"N",16,5,26,"M",1,2,"R","","",26,0
2020,39216122,126836298,1,22-JAN-20,3,"N",51,5,36,"M",1,2,"R","","",36,0
2020,39211376,126834755,1,21-JAN-20,3,"N",45,5,43,"M",1,2,"R","","",43,0
2020,39216154,126836322,1,11-FEB-20,3,"N",63,5,36,"F",1,2,"R","","",36,0
2020,39216156,126836323,1,21-JAN-20,3,"N",51,5,22,"M",1,3,"R","","",22,0
2020,39216168,126834785,1,23-JAN-20,3,"N",23,5,22,"M",1,2,"R","","",22,0
2020,39216195,126836382,1,24-JAN-20,2,"N",23,5,36,"F",1,3,"N","","",36,0
2020,39216215,126836405,1,28-JAN-20,3,"N",16,5,31,"F",1,2,"R","","",31,0
2020,39216236,126836428,1,29-JAN-20,2,"N",23,5,27,"F",1,2,"N","","",27,0
2020,39211458,126836462,1,31-JAN-20,1,"N",16,5,28,"M",1,2,"R","","",28,0
2020,39211466,126834955,1,01-FEB-20,1,"N",28,5,35,"M",1,2,"U","","",35,0
2020,39216348,126835082,1,10-FEB-20,1,"N",27,5,40,"M",1,2,"R","","",40,0
2020,39211546,126836596,1,12-FEB-20,3,"N",16,5,43,"M",2,2,"R","","",43,0
2020,39211561,126836618,1,14-FEB-20,3,"N",51,5,23,"F",1,3,"R","","",23,0
2020,39211593,126836655,1,23-FEB-20,1,"N",39,5,22,"M",1,2,"R","","",22,0
2020,39216400,126836671,1,23-FEB-20,3,"N",16,5,28,"F",1,2,"R","","",28,0
2020,39216619,126837061,2,04-JAN-20,1,"N",16,5,27,"F",1,3,"R","","",27,0
2020,39211758,126837061,5,04-JAN-20,1,"N",16,5,26,"F",1,3,"R","","",26,0
2020,39211757,126837061,1,04-JAN-20,1,"N",16,5,27,"M",1,2,"R","","",27,0
2020,39216622,126837061,3,04-JAN-20,1,"N",16,5,32,"M",1,2,"R","","",32,0
2020,39216620,126837061,4,04-JAN-20,1,"N",16,5,26,"M",1,3,"R","","",26,0
2020,39211789,126835678,1,09-JAN-20,2,"N",5,5,15,"M",1,1,"R","H","",15,0
2020,39211813,126835797,1,07-JAN-20,1,"N",5,5,18,"M",1,3,"N","","",18,0
2020,39211841,126837263,1,14-JAN-20,2,"N",51,5,14,"M",1,3,"R","H","",14,0
2020,39211908,126841110,1,15-JAN-20,1,"N",5,5,57,"M",3,2,"R","","",57,0
2020,39216831,126837425,1,15-JAN-20,1,"N",51,5,29,"F",1,3,"N","","",29,0
2020,39207071,126805765,1,01-JAN-20,1,"N",51,5,31,"M",1,3,"R","","",31,0
2020,39202748,126805800,1,02-JAN-20,1,"N",23,5,21,"F",1,2,"R","","",21,0
2020,39207081,126808849,1,02-JAN-20,2,"N",23,5,65,"F",1,3,"","","",65,0
2020,39207179,126806077,2,09-JAN-20,3,"N",16,5,53,"M",2,3,"N","","",53,0
2020,39202706,126805604,1,28-JAN-20,1,"N",23,5,13,"F",1,3,"R","R","",13,0
