"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,139608149,9,
2020,139608150,10,
2020,139609360,9,
2020,139614527,1,
2020,139609687,1,
2020,139614673,10,
2020,139610031,1,
2020,139615699,1,
2020,139615845,6,
2020,139611283,2,
2020,139616624,9,
2020,139611688,6,
2020,139611947,1,
2020,139612158,9,
2020,139612241,6,
2020,139612241,1,
2020,139617579,10,
2020,139617698,1,
2020,139617791,10,
2020,139617792,10,
2020,139617962,9,
2020,139618086,1,
2020,139623582,9,
2020,139618633,9,
2020,139250067,8,
2020,139245373,8,
2020,139250948,6,
2020,139279550,6,
2020,139276268,1,
2020,139276468,6,
2020,139276476,9,
2020,139280581,1,
2020,139290231,1,
2020,139291914,8,
2020,139294795,9,
2020,139294789,8,
2020,139295079,6,
2020,139295250,9,
2020,139292720,1,
2020,139302223,9,
2020,139305042,2,
2020,139307916,10,
2020,139308364,6,
2020,139308421,6,
2020,139306022,9,
2020,139308548,6,
2020,139306304,9,
2020,139306324,1,
2020,139306746,6,
2020,139309042,1,
2020,139309038,6,
2020,139309038,1,
2020,139309039,6,
2020,139309039,1,
2020,139309041,6,
2020,139306746,1,
2020,139309042,6,
2020,139309041,1,
2020,139307289,9,
2020,139307418,9,
2020,139307433,1,
2020,139309600,10,
2020,139310157,10,
2020,139313242,1,
2020,139313245,1,
2020,145178005,9,
2020,145178126,1,
2020,145178289,1,
2020,145176502,1,
2020,145176509,9,
2020,145176505,9,
2020,145178299,10,
2020,145176597,9,
2020,139477868,9,
2020,139483406,1,
2020,145177003,10,
2020,139495664,9,
2020,139488480,6,
2020,139488696,1,
2020,139488696,6,
2020,139487555,1,
2020,139498006,1,
2020,139494360,1,
2020,139495496,9,
2020,139499681,9,
2020,139499803,10,
2020,139499855,1,
2020,139500185,6,
2020,139496230,1,
2020,139496778,1,
2020,139502239,9,
2020,139503356,10,
2020,139502898,6,
2020,145179020,1,
2020,139511193,6,
2020,139507809,1,
2020,139512958,10,
2020,139513837,17,
2020,139512851,10,
2020,139518025,17,
2020,139518459,6,
2020,145179054,1,
2020,145177386,10,
2020,145177398,2,
2020,145179228,10,
2020,145177569,6,
2020,139892374,6,
2020,145179316,6,
2020,145177672,2,
2020,145179332,2,
2020,145182933,9,
2020,145182930,10,
2020,145183052,10,
2020,145183072,8,
2020,145183090,1,
2020,139892431,6,
2020,145183156,9,
2020,145179759,1,
2020,139898264,9,
2020,145179819,6,
2020,145179925,9,
2020,139586503,10,
2020,139582671,9,
2020,139587015,10,
2020,139593098,6,
2020,139589327,9,
2020,139589585,6,
2020,139594460,1,
2020,139592783,9,
2020,139604732,9,
2020,139599458,1,
2020,139605094,6,
2020,139605561,6,
2020,139600250,10,
2020,139605656,10,
2020,139600269,1,
2020,139600280,6,
2020,139600714,9,
2020,139601421,2,
2020,139607166,6,
2020,139602413,2,
2020,139602414,2,
2020,139602412,2,
2020,139607763,1,
2020,139607883,9,
2020,139612930,9,
2020,139608248,9,
2020,145183463,3,
2020,139608487,1,
2020,139613977,6,
2020,139609297,6,
2020,139614180,6,
2020,139614765,10,
2020,139610357,6,
2020,139610357,1,
2020,139610466,9,
2020,139615620,6,
2020,139615739,9,
2020,139610826,1,
2020,139615836,1,
2020,139616159,9,
2020,139611334,9,
2020,139616284,9,
2020,139616285,9,
2020,139611525,2,
2020,139612866,1,
2020,139618573,1,
2020,139623663,6,
2020,139623702,6,
2020,145179989,3,
2020,145183681,1,
2020,145183681,2,
2020,145180403,6,
2020,145184204,2,
2020,145180532,2,
2020,145184308,6,
2020,145184332,1,
2020,145184543,1,
2020,145184544,1,
2020,145184914,9,
2020,145184912,9,
2020,145184909,9,
2020,145181122,9,
2020,145181242,6,
2020,145181301,1,
2020,145181379,6,
2020,145181404,10,
2020,145185381,1,
2020,145185448,6,
2020,145181589,9,
2020,145185680,1,
2020,145185787,1,
2020,145185881,9,
2020,145186035,1,
2020,145182057,2,
2020,145182071,6,
2020,145182190,1,
2020,145182193,10,
2020,145182200,1,
2020,139243444,6,
2020,139265678,9,
2020,139266856,9,
2020,139275109,6,
2020,139275132,6,
2020,139276337,1,
2020,139279742,1,
2020,139276336,1,
2020,139277101,6,
2020,139283888,1,
2020,139308105,9,
2020,139309031,6,
2020,139304830,10,
2020,139273279,1,
2020,139274863,1,
2020,139279929,6,
2020,139277546,6,
2020,139281580,10,
2020,139293631,1,
2020,139293628,1,
2020,139450257,6,
2020,139295060,9,
2020,139302522,2,
2020,139305178,6,
2020,139305427,9,
2020,139308234,9,
2020,139308569,9,
2020,139306609,9,
2020,139306738,1,
2020,139309036,9,
2020,139309167,10,
2020,139307090,6,
2020,139309796,6,
2020,139309908,9,
2020,139309912,9,
2020,139309956,1,
2020,139451111,6,
2020,139444582,1,
2020,139241201,1,
2020,139236026,1,
2020,139237866,6,
2020,139244058,10,
2020,139251430,1,
2020,139251858,1,
2020,139269635,1,
2020,139269618,1,
2020,139273659,9,
2020,139279022,9,
2020,139276040,6,
2020,139279505,1,
2020,139279519,6,
2020,139276988,6,
2020,139280294,9,
2020,139287348,1,
2020,139287348,6,
2020,139294293,1,
2020,139295224,1,
