year,state,STATE,county,County,fips,GEOID,total_pop,tHH,tfHH_18,tfHH_65,HH_inc,clf,clf_ue
2019,AZ,Arizona,PIMA ,Pima ,4019,05000US04019,1027207,404739,109044,81519,53379,479760,33377
,,,,,,,,,,,,,
2019,AZ,Arizona,PINAL ,Pinal ,4021,05000US04021,432793,141300,43732,36591,58174,169843,12045
,,,,,,,,,,,,,
2019,AZ,Arizona,SANTA CRUZ ,Santa Cruz ,4023,05000US04023,46480,15853,6256,3808,41259,18587,1424
,,,,,,,,,,,,,
2019,AZ,Arizona,YAVAPAI ,Yavapai ,4025,05000US04025,228067,98386,18780,28524,52451,93401,5364
,,,,,,,,,,,,,
2019,AZ,Arizona,YUMA ,Yuma ,4027,05000US04027,209468,73098,27268,17017,45243,84321,8418
,,,,,,,,,,,,,
2019,AR,Arkansas,ARKANSAS ,Arkansas ,5001,05000US05001,17914,7491,2045,1398,46696,8350,486
,,,,,,,,,,,,,
2019,AR,Arkansas,ASHLEY ,Ashley ,5003,05000US05003,20270,7757,2312,1793,44744,8242,446
,,,,,,,,,,,,,
2019,AR,Arkansas,BAXTER ,Baxter ,5005,05000US05005,41427,18435,3785,5306,42260,16824,773
,,,,,,,,,,,,,
2019,AR,Arkansas,BENTON ,Benton ,5007,05000US05007,265759,97249,36446,15290,66362,133009,3224
,,,,,,,,,,,,,
2019,AR,Arkansas,BOONE ,Boone ,5009,05000US05009,37331,15034,4358,3104,45374,16944,770
,,,,,,,,,,,,,
2019,AR,Arkansas,BRADLEY ,Bradley ,5011,05000US05011,10874,4419,1313,782,43184,4426,335
,,,,,,,,,,,,,
2019,AR,Arkansas,CALHOUN ,Calhoun ,5013,05000US05013,5192,1850,451,504,46417,2208,97
,,,,,,,,,,,,,
2019,AR,Arkansas,CARROLL ,Carroll ,5015,05000US05015,27965,11139,2999,2621,46110,12470,457
,,,,,,,,,,,,,
2019,AR,Arkansas,CHICOT ,Chicot ,5017,05000US05017,10615,4068,1279,782,34147,3641,359
,,,,,,,,,,,,,
