combo,partner_crime,child_crime,stranger_crime,burglary_home_stranger,property_rel,victim_male,victim_female,victim_unknown_sex,offender_male,offender_female,offender_unknown_sex,victim_minor,victim_adult,offender_minor,offender_adult,property_crime,person_crime,society_crime
ADAMS-WI-2019-2,2,2,2,0,NA,1,5,0,7,2,0,0,6,0,6,9,2,1
ADAMS-WI-2019-3,1,1,1,0,NA,3,4,0,11,3,0,3,4,3,4,11,1,7
ADAMS-WI-2019-4,0,0,3,0,NA,8,4,0,8,4,0,0,12,0,12,14,3,1
ADAMS-WI-2019-5,0,1,2,0,NA,6,6,0,10,4,0,1,11,1,11,16,3,7
ADAMS-WI-2019-6,2,2,2,0,NA,7,5,0,8,5,0,3,9,3,9,19,2,0
ADAMS-WI-2019-7,2,4,2,0,NA,8,5,0,5,4,0,1,12,1,12,10,4,3
ADAMS-WI-2019-8,3,1,1,0,NA,10,6,0,8,3,0,0,16,0,16,15,4,2
ADAMS-WI-2019-9,0,0,0,0,NA,7,3,0,9,4,0,0,10,0,10,18,1,6
ADDISON-VT-2019-1,4,4,5,0,NA,15,11,0,6,9,0,3,23,3,23,27,5,2
ADDISON-VT-2019-10,0,1,14,2,NA,34,13,0,30,7,0,3,44,3,44,45,15,5
ADDISON-VT-2019-11,10,12,18,0,NA,14,24,0,18,12,0,8,30,8,30,20,25,3
ADDISON-VT-2019-12,5,5,9,0,NA,22,11,1,17,0,1,4,29,4,29,34,11,2
ADDISON-VT-2019-2,4,4,9,0,NA,23,14,0,11,9,0,1,36,1,36,41,9,2
ADDISON-VT-2019-3,3,5,10,0,NA,24,20,0,16,15,0,4,40,4,40,44,15,3
ADDISON-VT-2019-4,17,20,19,0,NA,45,36,0,28,28,0,6,75,6,75,63,30,1
ADDISON-VT-2019-5,6,5,8,0,NA,24,23,0,14,3,0,1,46,1,46,46,10,2
ADDISON-VT-2019-6,9,7,44,0,NA,114,50,0,135,22,0,3,161,3,161,123,57,3
ADDISON-VT-2019-7,4,9,6,0,NA,28,31,0,18,10,0,0,59,0,59,58,17,3
ADDISON-VT-2019-8,3,7,2,0,NA,28,30,0,22,8,0,0,58,0,58,65,8,1
ADDISON-VT-2019-9,3,5,4,0,NA,31,21,0,18,7,0,0,52,0,52,57,10,4
AIKEN-SC-2019-1,128,118,169,0,NA,412,440,1,538,246,1,74,762,74,762,743,279,187
AIKEN-SC-2019-10,231,204,257,0,NA,600,592,5,723,239,5,124,1033,124,1033,1033,401,183
AIKEN-SC-2019-11,133,137,160,0,NA,426,346,4,522,185,4,96,661,96,661,724,279,126
AIKEN-SC-2019-12,304,274,340,0,NA,490,546,6,789,155,6,181,845,181,845,694,448,214
AIKEN-SC-2019-2,123,97,156,0,NA,415,401,3,465,209,3,74,723,74,723,707,260,154
AIKEN-SC-2019-3,135,147,203,0,NA,434,488,4,594,233,4,130,781,130,781,773,331,159
AIKEN-SC-2019-4,131,117,200,0,NA,496,435,4,573,218,4,80,831,80,831,739,347,149
AIKEN-SC-2019-5,171,154,213,0,NA,523,469,0,604,240,0,100,826,100,826,907,336,102
AIKEN-SC-2019-6,145,127,225,0,NA,503,485,22,591,226,22,91,881,91,881,805,351,126
AIKEN-SC-2019-7,168,140,247,0,NA,588,536,2,661,264,2,89,1016,89,1016,944,395,154
AIKEN-SC-2019-8,176,150,198,0,NA,460,476,5,546,226,5,62,862,62,862,795,337,125
AIKEN-SC-2019-9,139,133,223,0,NA,445,507,5,629,234,5,95,847,95,847,798,358,136
ALAMOSA-CO-2019-1,16,27,12,0,NA,18,54,0,73,18,0,8,64,8,64,65,36,14
ALAMOSA-CO-2019-10,10,17,5,0,NA,31,44,0,67,40,0,6,69,6,69,97,19,19
ALAMOSA-CO-2019-11,25,32,25,0,NA,74,67,0,100,25,0,6,135,6,135,120,45,12
ALAMOSA-CO-2019-12,13,19,8,0,NA,31,58,0,76,29,0,1,88,1,88,109,23,10
ALAMOSA-CO-2019-2,3,11,3,0,NA,26,29,0,49,44,0,3,52,3,52,85,11,25
ALAMOSA-CO-2019-3,7,20,8,0,NA,28,50,3,69,54,3,5,76,5,76,107,29,20
ALAMOSA-CO-2019-4,4,7,4,0,NA,30,30,0,53,23,0,2,58,2,58,80,15,12
ALAMOSA-CO-2019-5,17,31,12,0,NA,39,60,1,72,32,1,8,92,8,92,89,40,12
ALAMOSA-CO-2019-6,28,44,29,0,NA,64,68,0,82,51,0,30,102,30,102,110,50,28
ALAMOSA-CO-2019-7,8,10,10,0,NA,53,49,0,99,20,0,0,102,0,102,118,23,24
ALAMOSA-CO-2019-8,15,29,13,0,NA,42,50,0,86,27,0,2,90,2,90,92,32,22
ALAMOSA-CO-2019-9,6,15,6,0,NA,30,35,0,53,18,0,2,63,2,63,75,18,10
ALBEMARLE-VA-2019-1,44,42,80,0,NA,144,164,0,255,121,0,32,274,32,274,279,117,125
ALBEMARLE-VA-2019-10,55,34,158,5,NA,275,259,5,387,174,5,66,466,66,466,473,223,103
ALBEMARLE-VA-2019-11,40,30,93,0,NA,183,165,1,248,108,1,30,317,30,317,294,146,62
ALBEMARLE-VA-2019-12,55,55,129,0,NA,200,241,1,333,186,1,49,386,49,386,394,186,123
ALBEMARLE-VA-2019-2,42,38,79,0,NA,116,133,1,209,115,1,19,226,19,226,192,125,103
ALBEMARLE-VA-2019-3,44,56,84,0,NA,120,165,1,281,109,1,55,230,55,230,213,144,136
ALBEMARLE-VA-2019-4,45,44,76,0,NA,139,125,2,235,109,2,24,240,24,240,227,123,125
ALBEMARLE-VA-2019-5,64,48,90,0,NA,153,189,1,256,124,1,36,304,36,304,297,162,75
ALBEMARLE-VA-2019-6,60,38,91,0,NA,129,182,1,270,120,1,21,289,21,289,271,157,87
ALBEMARLE-VA-2019-7,56,54,81,0,NA,167,240,2,265,176,2,22,384,22,384,300,183,107
ALBEMARLE-VA-2019-8,60,33,84,2,NA,165,200,2,254,134,2,21,341,21,341,288,157,92
ALBEMARLE-VA-2019-9,44,51,129,1,NA,194,187,3,294,96,3,61,316,61,316,266,181,73
ALCONA-MI-2019-1,0,2,1,0,NA,6,5,0,4,4,0,1,10,1,10,7,5,0
ALCONA-MI-2019-10,1,1,3,0,NA,3,5,0,7,0,0,1,7,1,7,7,3,1
ALCONA-MI-2019-11,1,2,2,0,NA,7,7,1,13,0,1,0,15,0,15,13,5,2
ALCONA-MI-2019-12,6,5,2,0,NA,14,9,0,13,7,0,1,21,1,21,15,9,2
ALCONA-MI-2019-2,2,2,8,0,NA,7,7,0,10,3,0,1,13,1,13,6,9,0
ALCONA-MI-2019-3,8,8,18,0,NA,14,6,0,10,8,0,6,14,6,14,7,18,0
ALCONA-MI-2019-4,3,3,3,0,NA,10,6,0,7,5,0,1,15,1,15,11,8,0
ALCONA-MI-2019-5,4,4,4,0,NA,10,8,0,10,7,0,1,17,1,17,11,8,3
ALCONA-MI-2019-6,1,4,1,0,NA,7,9,0,8,7,0,3,13,3,13,18,6,0
ALCONA-MI-2019-7,4,5,6,0,NA,12,8,0,13,3,0,0,19,0,19,12,11,2
ALCONA-MI-2019-8,2,7,3,0,NA,9,10,0,12,3,0,2,17,2,17,7,12,2
ALCONA-MI-2019-9,2,7,4,0,NA,16,13,0,21,6,0,2,25,2,25,23,10,4
ALEXANDRIA CITY-VA-2019-1,34,35,87,0,NA,249,224,1,350,94,1,43,431,43,431,464,149,72
ALEXANDRIA CITY-VA-2019-10,61,62,101,6,NA,313,287,0,402,143,0,31,569,31,569,559,194,62
ALEXANDRIA CITY-VA-2019-11,55,45,82,2,NA,318,328,1,471,152,1,26,621,26,621,656,158,75
ALEXANDRIA CITY-VA-2019-12,91,73,146,2,NA,282,319,1,407,201,1,23,579,23,579,505,248,95
ALEXANDRIA CITY-VA-2019-2,71,61,97,0,NA,228,204,2,316,75,2,57,377,57,377,397,148,51
ALEXANDRIA CITY-VA-2019-3,76,70,103,2,NA,243,243,1,374,133,1,38,449,38,449,428,183,76
ALEXANDRIA CITY-VA-2019-4,63,64,106,0,NA,248,257,0,350,132,0,54,451,54,451,446,192,55
ALEXANDRIA CITY-VA-2019-5,51,63,120,5,NA,269,297,1,351,138,1,41,526,41,526,504,202,53
ALEXANDRIA CITY-VA-2019-6,61,41,98,2,NA,294,317,0,378,148,0,23,587,23,587,565,185,66
ALEXANDRIA CITY-VA-2019-7,57,56,100,2,NA,251,225,1,370,114,1,19,457,19,457,453,175,78
ALEXANDRIA CITY-VA-2019-8,56,60,112,2,NA,269,242,1,359,91,1,18,494,18,494,477,176,46
ALEXANDRIA CITY-VA-2019-9,67,67,115,2,NA,289,245,5,477,105,5,49,490,49,490,495,198,80
ALFALFA-OK-2019-1,2,2,2,0,NA,8,8,1,12,0,1,1,16,1,16,14,6,1
ALFALFA-OK-2019-10,3,4,2,0,NA,3,5,1,9,0,1,3,6,3,6,5,6,3
ALFALFA-OK-2019-11,2,0,3,0,NA,2,4,0,4,2,0,1,5,1,5,2,5,1
ALFALFA-OK-2019-12,0,6,1,0,NA,5,6,0,6,3,0,4,5,4,5,4,7,0
ALFALFA-OK-2019-2,1,1,2,0,NA,3,5,0,7,0,0,0,8,0,8,8,2,2
ALFALFA-OK-2019-3,0,1,1,0,NA,2,1,0,3,1,0,0,3,0,3,4,2,1
ALFALFA-OK-2019-4,0,1,0,0,NA,3,3,0,3,1,0,1,5,1,5,5,1,2
ALFALFA-OK-2019-5,0,0,0,0,NA,0,1,1,0,2,1,0,2,0,2,2,0,1
ALFALFA-OK-2019-6,2,2,1,0,NA,5,3,0,4,2,0,0,8,0,8,11,3,0
ALFALFA-OK-2019-7,2,6,3,0,NA,2,8,3,7,5,3,0,13,0,13,7,8,1
ALFALFA-OK-2019-8,0,2,8,0,NA,5,19,0,6,17,0,2,22,2,22,13,12,0
ALFALFA-OK-2019-9,3,5,3,0,NA,13,11,0,15,5,0,2,22,2,22,17,12,0
ALGER-MI-2019-1,0,0,2,0,NA,2,0,0,8,3,0,1,1,1,1,3,2,6
ALGER-MI-2019-10,1,1,7,0,NA,6,6,0,20,15,0,3,9,3,9,6,7,25
ALGER-MI-2019-11,1,1,2,0,NA,8,4,0,58,43,0,1,11,1,11,9,3,94
ALGER-MI-2019-12,11,8,27,0,NA,17,17,0,19,15,0,17,17,17,17,4,30,5
ALGER-MI-2019-2,3,3,9,0,NA,34,4,0,35,2,0,1,37,1,37,29,9,3
